"HGNC ID","Status","Approved symbol","Approved name","Chromosome location","Orphanet ID","OMIM ID"
"HGNC:5","Approved","A1BG","alpha-1-B glycoprotein","19q13.43",,138670
"HGNC:37133","Approved","A1BG-AS1","A1BG antisense RNA 1","19q13.43",,
"HGNC:24086","Approved","A1CF","APOBEC1 complementation factor","10q11.23",,618199
"HGNC:7","Approved","A2M","alpha-2-macroglobulin","12p13.31",,103950
"HGNC:27057","Approved","A2M-AS1","A2M antisense RNA 1","12p13.31",,
"HGNC:23336","Approved","A2ML1","alpha-2-macroglobulin like 1","12p13.31",410627,610627
"HGNC:41022","Approved","A2ML1-AS1","A2ML1 antisense RNA 1","12p13.31",,
"HGNC:41523","Approved","A2ML1-AS2","A2ML1 antisense RNA 2","12p13.31",,
"HGNC:8","Approved","A2MP1","alpha-2-macroglobulin pseudogene 1","12p13.31",,
"HGNC:30005","Approved","A3GALT2","alpha 1,3-galactosyltransferase 2","1p35.1",,
"HGNC:18149","Approved","A4GALT","alpha 1,4-galactosyltransferase (P blood group)","22q13.2",,607922
"HGNC:17968","Approved","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase","3q22.3",,616709
"HGNC:1","Entry Withdrawn","A12M1","adenovirus-12 chromosome modification site 1C",,,
"HGNC:2","Entry Withdrawn","A12M2","adenovirus-12 chromosome modification site 1A",,,
"HGNC:3","Entry Withdrawn","A12M3","adenovirus-12 chromosome modification site 1B",,,
"HGNC:4","Entry Withdrawn","A12M4","adenovirus-12 chromosome modification site 17",,,
"HGNC:13666","Approved","AAAS","aladin WD repeat nucleoporin","12q13.13",117613,605378
"HGNC:12","Entry Withdrawn","AABT","amino acid transport, beta",,,
"HGNC:21298","Approved","AACS","acetoacetyl-CoA synthetase","12q24.31",,614364
"HGNC:18226","Approved","AACSP1","acetoacetyl-CoA synthetase pseudogene 1","5q35.3",,
"HGNC:17","Approved","AADAC","arylacetamide deacetylase","3q25.1",,600338
"HGNC:24427","Approved","AADACL2","arylacetamide deacetylase like 2","3q25.1",,
"HGNC:50301","Approved","AADACL2-AS1","AADACL2 antisense RNA 1","3q25.1",,
"HGNC:32037","Approved","AADACL3","arylacetamide deacetylase like 3","1p36.21",,
"HGNC:32038","Approved","AADACL4","arylacetamide deacetylase like 4","1p36.21",,
"HGNC:50305","Approved","AADACP1","arylacetamide deacetylase pseudogene 1","3q25.1",,
"HGNC:17929","Approved","AADAT","aminoadipate aminotransferase","4q33",,611754
"HGNC:25662","Approved","AAGAB","alpha and gamma adaptin binding protein","15q23",317366,614888
"HGNC:19679","Approved","AAK1","AP2 associated kinase 1","2p13.3",,616405
"HGNC:30205","Approved","AAMDC","adipogenesis associated Mth938 domain containing","11q14.1",,
"HGNC:18","Approved","AAMP","angio associated migratory cell protein","2q35",,603488
"HGNC:19","Approved","AANAT","aralkylamine N-acetyltransferase","17q25.1",469884,600950
"HGNC:15886","Approved","AAR2","AAR2 splicing factor","20q11.23",,617365
"HGNC:33842","Approved","AARD","alanine and arginine rich domain containing protein","8q24.11",,
"HGNC:20","Approved","AARS1","alanyl-tRNA synthetase 1","16q22.1",232194,601065
"HGNC:49894","Approved","AARS1P1","alanyl-tRNA synthetase 1 pseudogene 1","4q28.3",,
"HGNC:21022","Approved","AARS2","alanyl-tRNA synthetase 2, mitochondrial","6p21.1",269639,612035
"HGNC:28417","Approved","AARSD1","alanyl-tRNA synthetase domain containing 1","17q21.31",,613212
"HGNC:54994","Approved","AARSD1P1","AARSD1 pseudogene 1","Xq13.2",,
"HGNC:23993","Approved","AASDH","aminoadipate-semialdehyde dehydrogenase","4q12",,614365
"HGNC:14235","Approved","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","11q22.3",,607756
"HGNC:17366","Approved","AASS","aminoadipate-semialdehyde synthase","7q31.32",123389,605113
"HGNC:51526","Approved","AATBC","apoptosis associated transcript in bladder cancer","21q22.3",,
"HGNC:19235","Approved","AATF","apoptosis antagonizing transcription factor","17q12",,608463
"HGNC:21","Approved","AATK","apoptosis associated tyrosine kinase","17q25.3",,605276
"HGNC:22","Approved","AAVS1","adeno-associated virus integration site 1","19q13",,102699
"HGNC:49667","Approved","ABALON","apoptotic BCL2L1-antisense long non-coding RNA","20q11.21",,
"HGNC:23","Approved","ABAT","4-aminobutyrate aminotransferase","16p13.2",117617,137150
"HGNC:29","Approved","ABCA1","ATP binding cassette subfamily A member 1","9q31.1",159528,600046
